fighter,5D,Ref,event_odds_url,event_ufcstats_url,event_id,event_name
Joseph Benavidez,-450.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Erik Koch,-165.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Raphael Assuncao,145.0,,https://www.bestfightodds.com/events/ufc-128-shogun-vs-jones-346,http://www.ufcstats.com/event-details/1411c630ba711b64,ufc-128-shogun-vs-jones-346,UFC 128: Shogun vs Jones
Jake Shields,405.0,,https://www.bestfightodds.com/events/ufc-129-st-pierre-vs-shields-352,http://www.ufcstats.com/event-details/2db7fa8db6bc9632,ufc-129-st-pierre-vs-shields-352,UFC 129: St-Pierre vs Shields
Lyoto Machida,-350.0,,https://www.bestfightodds.com/events/ufc-129-st-pierre-vs-shields-352,http://www.ufcstats.com/event-details/2db7fa8db6bc9632,ufc-129-st-pierre-vs-shields-352,UFC 129: St-Pierre vs Shields
Benson Henderson,-150.0,,https://www.bestfightodds.com/events/ufc-129-st-pierre-vs-shields-352,http://www.ufcstats.com/event-details/2db7fa8db6bc9632,ufc-129-st-pierre-vs-shields-352,UFC 129: St-Pierre vs Shields
Jose Aldo,-500.0,,https://www.bestfightodds.com/events/ufc-129-st-pierre-vs-shields-352,http://www.ufcstats.com/event-details/2db7fa8db6bc9632,ufc-129-st-pierre-vs-shields-352,UFC 129: St-Pierre vs Shields
Nate Diaz,127.0,,https://www.bestfightodds.com/events/ufc-129-st-pierre-vs-shields-352,http://www.ufcstats.com/event-details/2db7fa8db6bc9632,ufc-129-st-pierre-vs-shields-352,UFC 129: St-Pierre vs Shields
John Makdessi,-170.0,,https://www.bestfightodds.com/events/ufc-129-st-pierre-vs-shields-352,http://www.ufcstats.com/event-details/2db7fa8db6bc9632,ufc-129-st-pierre-vs-shields-352,UFC 129: St-Pierre vs Shields
Quinton Jackson,-305.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Frank Mir,-120.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Roy Nelson,110.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Rick Story,210.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Thiago Alves,-230.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Stefan Struve,118.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Demetrious Johnson,110.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Renan Barao,-345.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Gleison Tibau,-430.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
Tim Boetsch,115.0,,https://www.bestfightodds.com/events/ufc-130-rampage-vs-hamill-357,http://www.ufcstats.com/event-details/b732b326c362fb62,ufc-130-rampage-vs-hamill-357,UFC 130: Rampage vs Hamill
