fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event,event_name,full_event_name
Randa Markos,Nina Nunes,Women's Strawweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,DEC,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Devin Powell,Alvaro Herrera,Lightweight Bout,,,fight-night-canada-july-28-2018,https://www.ufc.com/event/fight-night-canada-july-28-2018,KO/TKO,fight-night-canada-july-28-2018,Alvarez vs Poirier 2,fight night canada july 28 2018 Alvarez vs Poirier 2
Mauricio Rua,Anthony Smith,Light Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,KO/TKO,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Glover Teixeira,Corey Anderson,Light Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Marcin Tybura,Stefan Struve,Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Danny Roberts,David Zawada,Welterweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Nasrat Haqparast,Marc Diakiese,Lightweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Nick Hein,Damir Hadzovic,Lightweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Emil Meek,Bartosz Fabinski,Welterweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Khalid Taha,Nad Narimani,Featherweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Justin Ledet,Aleksandar Rakić,Light Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,DEC,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Davey Grant,Manny Bermudez,Bantamweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,SUB,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Jeremy Kimball,Darko Stosic,Light Heavyweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,KO/TKO,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Damian Stasiak,Pingyuan Liu,Bantamweight Bout,,,fight-night-hamburg-2018,https://www.ufc.com/event/fight-night-hamburg-2018,,fight-night-hamburg-2018,Shogun vs Smith,fight night hamburg 2018 Shogun vs Smith
Johny Hendricks,Stephen Thompson,Welterweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,KO/TKO,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Roy Nelson,Jared Rosholt,Heavyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
